Latitude, Longitude, COTotalColumn,COMixingRatio surface,COMixingRatio 900hPa,COMixingRatio 800hPa,COMixingRatio 700hPa,COMixingRatio 600hPa, COMixingRatio 500hPa,COMixingRatio 400hPa,COMixingRatio 300hPa,COMixingRatio 200hPa,COMixingRatio 100hPa,RetrievedSurfaceTemperature 
16.335,156.832,2.37986e+18,94.3652,101.857,112.491,125.512,133.947,141.736,140.464,125.25,95.1069,52.3544,298.281
16.5554,156.862,2.36219e+18,90.8108,91.9283,96.398,104.091,109.931,121.727,142.289,165.904,137.842,58.2472,298.323
16.7758,156.891,2.3968e+18,95.6602,102.419,111.993,123.716,131.682,140.461,143.247,130.844,98.1419,52.032,299.315
16.9968,156.92,2.41063e+18,95.7223,102.093,111.269,122.533,130.545,140.074,145.28,135.251,101.582,52.3459,299.248
16.4645,157.345,2.42895e+18,97.3619,108.311,122.653,139.556,149.033,150.111,134.257,108.488,83.8951,50.5082,299.119
16.6785,157.375,2.3785e+18,98.0083,108.766,122.538,137.583,144.499,143.766,128.456,104.487,81.785,49.8583,299.363
16.8929,157.404,2.33994e+18,95.1953,100.664,108.795,119.189,126.059,133.936,137.992,129.315,99.9028,53.1449,299.633
16.1674,157.773,2.24776e+18,88.1847,86.6028,89.1156,95.3066,99.4454,109.605,130.981,163.859,144.57,58.8549,297.954
16.585,157.831,2.22335e+18,94.5435,101.026,109.857,120.378,125.493,128.298,123.204,108.345,86.2132,50.8241,298.509
16.7942,157.861,2.26932e+18,95.0864,101.506,110.382,121.009,126.639,130.835,128.288,114.634,90.1347,51.4014,298.878
16.0848,158.209,2.16912e+18,86.4606,83.4175,85.0083,90.3898,93.9147,103.309,124.016,158.482,145.686,60.2607,298.712
16.6993,158.297,2.21919e+18,87.2706,83.9306,85.1093,90.1006,93.5166,102.43,124.051,165.648,161.078,61.5613,298.748
16.0022,158.628,2.12607e+18,87.0752,84.8047,86.8096,92.3837,95.8651,104.683,122.869,147.58,128.816,58.848,298.843
16.2038,158.658,2.1425e+18,86.7373,83.8368,85.4768,90.7621,94.1867,102.597,121.022,151.848,141.066,61.9258,298.933
16.4055,158.688,2.22792e+18,93.4887,98.5324,105.992,115.973,121.604,127.044,127.495,116.962,92.3746,52.0275,298.822
16.6074,158.717,2.32794e+18,90.5652,91.1138,95.123,102.634,108.128,118.85,138.817,161.654,137.312,60.1355,299.791
15.9192,159.037,2.1742e+18,92.1197,96.681,103.484,113.522,119.043,124.121,123.543,112.774,89.6835,51.9031,298.283
16.1187,159.066,2.14923e+18,89.8447,90.5154,94.5219,101.831,106.271,114.014,124.711,131.236,109.203,56.0697,298.529
16.3182,159.096,2.25001e+18,91.5958,93.9566,99.2653,107.96,113.756,122.736,133.51,136.313,110.011,55.8216,299.135
16.518,159.127,2.29703e+18,95.0181,101.181,109.451,120.691,127.497,133.33,132.854,119.235,92.5018,51.734,299.519
16.2318,159.498,2.22437e+18,93.0748,97.2839,103.928,113.968,119.884,126.119,128.801,120.246,94.6936,52.4651,299.339
16.4303,159.529,2.28261e+18,94.445,99.669,107.111,117.981,124.69,131.188,133.044,122.06,94.8632,52.2428,299.755
15.7501,159.835,2.13617e+18,90.7404,93.2573,98.3031,107.12,112.352,118.79,123.091,118.334,95.0901,53.0643,298.716
16.344,159.928,2.13272e+18,92.9149,96.5179,102.504,111.574,115.805,119.219,118.938,109.321,88.4933,51.2631,299.301
15.6631,160.233,2.16643e+18,86.2415,83.3769,84.8928,90.6442,94.8362,104.311,124.461,157.351,143.272,61.357,297.791
16.2583,160.327,2.20915e+18,93.2836,97.3729,103.85,114.091,119.961,125.709,127.164,117.089,92.4548,51.8518,299.348
15.9732,160.698,2.20427e+18,89.5942,90.2318,94.1917,102.292,107.9,117.736,131.62,140.285,114.285,55.9888,298.218
16.1731,160.73,2.29633e+18,89.0482,88.7653,92.3124,99.8893,105.125,115.596,135.36,161.376,142.187,61.2509,300.06
15.6836,161.075,2.18462e+18,96.5099,106.046,116.26,130.509,134.173,127.994,108.917,87.1109,72.8713,48.4092,299.29
15.8853,161.108,2.27232e+18,95.8588,102.967,111.584,124.867,131.841,134.585,126.229,107.542,85.2954,50.7973,300.184
16.0874,161.142,2.37677e+18,97.6156,107.406,119.088,136.275,145.018,145.326,130.319,105.56,82.9885,50.126,299.692
15.386,161.462,2.20421e+18,86.0335,84.226,86.2404,93.1239,98.3785,109.94,130.894,159.568,139.72,58.7514,299.47
15.591,161.495,2.09681e+18,85.8877,83.3632,84.8872,90.5465,93.8547,101.865,116.664,141.996,137.473,62.2383,299.023
15.7958,161.53,2.1817e+18,91.5784,94.2476,99.329,108.831,114.479,121.875,126.523,122.177,98.957,53.7755,299.593
16.001,161.565,2.28854e+18,91.652,94.0587,99.2915,109.152,116.109,127.03,138.845,140.741,110.74,54.861,299.741
15.7036,161.968,2.2508e+18,96.539,105.573,115.545,130.489,136.763,135.168,118.434,95.1844,77.4525,49.3741,299.497
15.9129,162.004,2.3293e+18,94.5844,100.188,107.745,120.371,128.65,137.172,137.482,124.065,96.6914,53.0205,299.967
15.1784,162.354,2.19078e+18,95.5591,108.657,122.219,140.914,143.584,130.081,101.489,76.5315,65.408,46.6747,297.705
15.8217,162.466,2.36852e+18,93.1007,98.3611,105.689,118.667,127.935,139.43,144.8,134.78,102.844,53.2405,298.585
15.0662,162.839,2.44147e+18,90.4127,94.2639,100.106,113.225,124.165,140.892,156.755,159.632,120.696,55.2233,298.114
15.0831,162.583,2.42496e+18,91.6011,96.4036,103.09,117.003,127.974,142.724,152.512,148.027,112.906,55.3041,298.84
15.518,162.658,2.36123e+18,90.9376,94.2254,99.6486,111.059,119.665,133.053,145.906,149.078,118.315,55.9948,298.336
15.7357,162.698,2.39738e+18,94.3184,101.461,110.083,125.097,135.627,145.736,144.312,126.744,96.0433,52.0599,298.825
15.7739,162.204,2.34332e+18,94.577,100.568,108.366,121.761,130.715,139.327,138.303,123.611,96.4263,53.0532,299.879
15.6014,161.701,2.13693e+18,90.0725,91.6136,95.6989,104.299,109.329,116.895,123.28,123.212,102.597,54.9836,299.073
15.8085,161.737,2.20133e+18,93.6664,98.667,105.447,116.765,122.821,127.592,124.186,110.271,88.2076,51.3915,299.523
15.6392,161.256,2.11182e+18,92.1053,95.6535,101.058,110.646,115.26,119.366,117.682,107.157,87.0437,51.4062,299.553
15.8427,161.29,2.19796e+18,92.6553,96.3037,102.185,112.496,118.487,125.079,126.801,117.88,93.9175,52.5933,299.881
15.9065,160.435,2.12915e+18,88.9301,88.8701,92.2371,99.4511,103.96,111.941,123.473,132.114,111.815,56.7509,298.211
15.3336,159.995,2.27662e+18,84.9598,81.8009,83.0624,88.9464,93.7244,104.233,128.324,179.245,176.208,64.6227,298.495
15.7297,160.056,2.15221e+18,91.015,93.9445,99.2816,108.543,114.102,120.557,124.195,118.246,94.7106,52.9606,298.647
15.7619,159.641,2.20893e+18,93.6938,101.086,110.055,122.704,128.736,129.898,120.634,102.434,82.3228,50.6379,298.349
15.4266,158.745,2.4044e+18,88.7145,89.6923,93.962,102.674,109.817,123.226,146.872,176.676,149.064,62.1602,298.358
15.627,158.775,2.38438e+18,86.1427,83.3729,85.1769,91.5054,96.7028,108.646,137.406,196.624,184.825,65.6507,298.15
15.8273,158.805,2.18813e+18,93.8526,101.248,110.327,121.884,126.478,126.857,117.838,101.136,82.0583,50.7079,298.406
16.0279,158.834,2.23045e+18,88.3399,87.443,90.472,97.1411,101.651,111.367,130.078,155.62,136.899,60.9629,298.696
15.4557,158.316,2.45626e+18,95.6707,107.504,122.576,141.761,153.546,155.167,137.144,109.456,84.5482,51.4932,298.88
15.8615,158.375,2.25112e+18,86.8176,84.5042,86.4837,92.4648,96.8184,107.238,129.947,168.595,155.602,62.898,298.632
16.0648,158.404,2.21783e+18,93.1463,98.1472,105.678,115.861,121.393,126.726,126.387,115.829,91.8373,52.3852,299.143
15.4845,157.873,2.46682e+18,93.7884,100.888,110.871,124.656,135.547,147.416,151.46,140.326,106.197,56.0239,299.754
15.691,157.902,2.43569e+18,93.8406,101.96,113.26,128.641,139.856,148.994,145.844,127.894,96.7821,53.7943,298.637
16.1043,157.961,2.31911e+18,95.4796,104.766,116.97,131.526,138.357,139.304,127.07,105.788,83.4147,50.7803,298.775
15.5141,157.411,2.51821e+18,97.4086,110.216,126.997,146.867,159.165,160.497,140.143,110.562,84.3058,51.4274,299.975
15.7252,157.44,2.47994e+18,97.0533,109.46,125.564,144.595,155.836,156.457,137.133,108.767,83.3506,50.9946,299.444
15.9363,157.469,2.40773e+18,97.2724,110.035,126.343,144.656,152.516,148.507,126.446,99.4752,79.1153,50.1777,299.04
15.5442,156.925,2.49386e+18,91.0843,94.737,101.592,112.078,121.635,137.798,159.417,173.942,131.471,57.2122,299.336
15.7612,156.954,2.45655e+18,90.4137,92.6093,98.1544,107.302,115.043,129.544,152.493,176.951,142.956,59.5824,299.4
15.9782,156.983,2.38433e+18,93.3903,99.616,108.945,121.079,129.564,139.689,144.292,134.754,101.549,53.5932,298.811
16.1956,157.013,2.39192e+18,91.6554,94.5101,100.633,110.024,117.225,129.686,146.114,157.773,127.478,58.1,299.01
15.5461,156.667,2.50864e+18,93.0407,99.4956,109.089,121.855,133.055,147.616,157.743,153.436,115.315,56.4966,299.383
15.7666,156.697,2.44493e+18,90.0241,91.7131,96.7592,105.266,112.406,126.467,149.959,178.668,148.341,61.0617,299.372
15.987,156.726,2.39983e+18,95.797,105.164,117.762,132.386,140.978,145.62,136.942,116.456,89.1865,52.0281,299.372
15.4619,157.149,2.51389e+18,93.2874,99.6682,109.125,122.225,133.733,148.61,159.22,153.773,113.592,56.2189,299.932
15.6759,157.179,2.52825e+18,99.3681,117.591,141.682,167.672,176.906,159.891,120.773,87.5918,70.0663,47.989,299.331
15.8899,157.208,2.43798e+18,95.2479,104.122,116.088,130.856,140.779,148.341,143.454,124.516,94.5536,53.2308,299.271
16.1043,157.237,2.41313e+18,95.7075,105.281,118.225,133.783,143.014,147.778,137.995,115.861,88.8187,51.8721,298.913
15.3779,157.604,2.53716e+18,93.7986,101.396,112.297,127.659,141.266,155.725,160.125,145.84,106.385,55.1616,299.744
15.5867,157.633,2.46339e+18,92.2867,97.4896,105.748,117.79,127.83,141.878,154.543,154.421,117.279,57.3264,299.241
15.7955,157.663,2.41248e+18,94.2918,102.681,114.226,129.423,139.863,147.323,141.986,122.797,93.6538,53.0876,298.721
15.296,158.038,2.53637e+18,95.6572,105.939,119.308,136.985,150.687,159.789,151.953,128.423,95.6328,53.7017,299.979
15.5008,158.068,2.4991e+18,94.8454,104.359,117.037,133.939,146.576,155.729,149.856,128.385,96.1429,53.6943,299.248
15.7055,158.097,2.39888e+18,93.8605,101.151,111.165,124.772,134.591,143.846,143.546,128.711,98.0569,54.0118,299.088
15.2136,158.457,2.59786e+18,96.88,108.454,123.013,143.006,159.036,168.309,155.821,126.287,92.5439,53.0583,300.32
15.4152,158.486,2.52649e+18,98.0048,112.924,131.647,155.245,167.93,162.227,132.952,100.837,78.7023,50.1063,299.557
